Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Camden,2000,52600,3.8,*,!,38400,!,!,2100,11400,18.4,*,2200,30700,7.1,*,,,,,,,,,,,
,Camden,1700,55600,3,*,!,39200,!,!,1000,13400,7.7,*,2200,35100,6.2,*,,,,,,,,,,,
,Camden,2200,65600,3.4,*,!,38200,!,!,1200,9600,12.4,*,4000,30400,13.2,*,,,,,,,,,,,
,Camden,!,61100,!,!,!,34500,!,!,!,13900,!,!,2500,35000,7.2,*,,,,,,,,,,,
,Camden,!,72200,!,!,!,27400,!,!,!,12400,!,!,!,32500,!,!,,,,,,,,,,,
,Camden,4700,59300,8,*,!,30600,!,!,!,22800,!,!,!,33900,!,!,,,,,,,,,,,
,City of London,!,#,!,!,!,!,!,-,!,!,!,-,!,!,!,-,,,,,,,,,,,
,City of London,!,1600,!,!,!,!,!,-,!,!,!,-,!,!,!,-,,,,,,,,,,,
,City of London,!,4100,!,!,!,!,!,-,!,!,!,-,!,!,!,-,,,,,,,,,,,
,City of London,!,!,!,!,!,3500,!,!,!,!,!,-,!,!,!,-,,,,,,,,,,,
,City of London,!,5300,!,!,!,!,!,-,!,!,!,-,!,!,!,!,,,,,,,,,,,
,City of London,!,5600,!,!,!,#,!,!,!,!,!,-,!,!,!,-,,,,,,,,,,,
,City of London,!,#,!,!,!,!,!,!,!,!,!,!,!,!,!,-,,,,,,,,,,,
,City of London,!12,"10,800",!13,!14,!15,#16,!17,!18,!19,!20,!21,-22,!23,"9,60,024",!25,!26,,,,,,,,,,,
,City of London,!14,"6,200",!15,!16,!17,#18,!19,!20,!21,!22,!23,-24,!25,#26,!27,!28,,,,,,,,,,,
,Croydon,6000,90100,6.6,5.4,!,23500,!,!,2800,29300,9.7,*,7400,56400,13.1,9.2,,,,,,,,,,,
,Croydon,5200,99400,5.2,4.8,!,24000,!,!,5100,28300,18,*,4700,46300,10.1,*,,,,,,,,,,,
,Croydon,1900,94300,2.1,*,!,26300,!,!,2300,33500,6.8,*,2900,46100,6.3,*,,,,,,,,,,,
,Croydon,5500,87600,6.3,5.3,1400,27600,5,*,2000,35600,5.6,*,2800,56900,5,*,,,,,,,,,,,
,Croydon,2700,93600,2.9,*,!,33700,!,!,!,27500,!,!,2500,53100,4.8,*,,,,,,,,,,,
,Croydon,3100,86700,3.6,*,!,40300,!,!,1800,28400,6.4,*,1900,49800,3.8,*,,,,,,,,,,,
