Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Kensington and Chelsea,700,23600,2.8,*,!,28200,!,!,1100,8800,12.4,*,1600,14900,11,*,,,,,,,,,,,
,Kensington and Chelsea,1400,29500,4.6,*,!,33100,!,!,1200,5900,19.4,*,1300,15000,8.7,*,,,,,,,,,,,
,Kensington and Chelsea,1900,21300,8.9,*,!,21600,!,!,!,9500,!,!,!,18700,!,!,,,,,,,,,,,
,Kensington and Chelsea,!,19800,!,!,!,30500,!,!,!,9000,!,!,!,17700,!,!,,,,,,,,,,,
,Kingston upon Thames,2500,52300,4.7,4.2,!,15500,!,!,!,4800,!,!,1700,17300,10,*,,,,,,,,,,,
,Kingston upon Thames,2400,53500,4.4,4.2,#,17800,4.6,*,!,5100,!,!,600,13600,4.3,*,,,,,,,,,,,
,Kingston upon Thames,1600,52700,3.1,*,800,16600,4.7,*,!,5100,!,!,!,18800,!,!,,,,,,,,,,,
,Kingston upon Thames,4000,55200,7.2,5.7,!,13900,!,!,!,6100,!,!,2200,21200,10.5,*,,,,,,,,,,,
,Kingston upon Thames,1300,58500,2.2,*,!,16800,!,!,!,8100,!,!,800,15600,5.4,*,,,,,,,,,,,
,Kingston upon Thames,2700,56900,4.7,4.6,!,16300,!,!,!,5900,!,!,!,20100,!,!,,,,,,,,,,,
,Kingston upon Thames,1300,54000,2.4,*,!,25800,!,!,!,5700,!,!,!,18300,!,!,,,,,,,,,,,
,Kingston upon Thames,!,50400,!,!,!,28100,!,!,!,7500,!,!,!,21600,!,!,,,,,,,,,,,
,Lambeth,3100,56400,5.4,4.3,1300,16500,8,*,!,4900,!,!,1000,13100,7.3,*,,,,,,,,,,,
,Lambeth,3600,95500,3.7,*,2600,54200,4.9,*,4900,25700,19,17.2,4600,25000,18.6,15.9,,,,,,,,,,,
,Lambeth,4000,105400,3.8,*,3700,48300,7.6,*,!,18200,!,!,3100,30900,9.9,*,,,,,,,,,,,
,Lambeth,5400,105100,5.1,*,1600,43300,3.6,*,2000,20000,9.8,*,!,32700,!,!,,,,,,,,,,,
,Lambeth,1000,53400,1.9,*,800,16600,4.6,*,!,3100,!,!,1600,19200,8.5,*,,,,,,,,,,,
,Lambeth,2700,99300,2.7,*,!,48400,!,!,4300,32400,13.4,*,4300,31000,13.8,*,,,,,,,,,,,
,Lambeth,1800,104000,1.7,*,5100,45700,11.2,*,2300,26400,8.6,*,!,34100,!,!,,,,,,,,,,,
,Lambeth,2200,75300,2.9,*,1700,50100,3.4,*,4100,31400,13.2,*,6200,47300,13,10.9,,,,,,,,,,,
,Lambeth,4400,96800,4.5,*,3100,36100,8.6,*,2400,28500,8.5,*,2400,43700,5.6,*,,,,,,,,,,,
,Lambeth,7600,106100,7.2,6.3,!,39700,!,!,3700,23200,16.1,*,5600,46200,12,*,,,,,,,,,,,
,Lambeth,3600,102400,3.5,*,!,50000,!,!,!,34700,!,!,!,26800,!,!,,,,,,,,,,,
,Lambeth,!,119500,!,!,!,40700,!,!,!,42600,!,!,!,22100,!,!,,,,,,,,,,,
,Lewisham,8100,81200,10,6,1300,27200,4.8,*,3100,19600,15.7,*,4500,30800,14.4,11.4,,,,,,,,,,,
,Lewisham,2000,72900,2.8,*,2300,28700,7.9,*,2000,26600,7.7,*,2100,33300,6.4,*,,,,,,,,,,,
,Lewisham,3300,72400,4.6,*,2800,26500,10.6,*,1700,28800,6,*,1800,41100,4.4,*,,,,,,,,,,,
,Lewisham,4700,81900,5.7,5.3,!,30200,!,!,2900,24300,12.1,*,3300,33300,9.8,*,,,,,,,,,,,
,Lewisham,2000,87600,2.3,*,!,36100,!,!,1800,23400,7.8,*,2400,34800,6.9,*,,,,,,,,,,,
,Lewisham,2500,85500,3,*,1700,35300,4.9,*,2100,24600,8.5,*,1500,32000,4.7,*,,,,,,,,,,,
,Lewisham,3100,89600,3.5,*,1500,35900,4.3,*,2200,25600,8.4,*,1900,31500,6.1,*,,,,,,,,,,,
,Lewisham,1500,91300,1.7,*,!,36000,!,!,6000,23700,25.1,*,!,43000,!,!,,,,,,,,,,,
,Lewisham,2000,85000,2.3,*,!,40500,!,!,2400,22400,10.6,*,#,32000,8.2,*,,,,,,,,,,,
,Lewisham,!,97800,!,!,!,33000,!,!,!,27100,!,!,!,38800,!,!,,,,,,,,,,,
,London,132100,2064800,6.4,0.9,42500,818200,5.2,1.4,86100,507200,17,3,125600,1068300,11.8,1.7,,,,,,,,,,,
,London,107700,2084400,5.2,0.9,43400,875000,5,1.3,67400,509400,13.2,2.8,97500,1078100,9,1.5,,,,,,,,,,,
,London,94400,2060600,4.6,0.8,34700,907300,3.8,1.2,69700,591300,11.8,2.5,83200,1108000,7.5,1.4,,,,,,,,,,,
,London,80300,2016100,4,0.8,37600,991400,3.8,1.2,63200,583600,10.8,2.5,87900,1161400,7.6,1.5,,,,,,,,,,,
,London,80300,2016100,4,0.8,37600,991400,3.8,1.2,63200,583600,10.8,2.5,87900,1161400,7.6,1.5,,,,,,,,,,,
,London,79900,2061900,3.9,0.8,37100,1003700,3.7,1.2,53400,547600,9.8,2.5,83000,1166900,7.1,1.4,,,,,,,,,,,
,London,75800,2100600,3.6,0.8,33700,995600,3.4,1.2,56500,608100,9.3,2.5,74900,1143300,6.6,1.5,,,,,,,,,,,
,London,75900,2081500,3.6,0.8,31800,1058600,3,1.1,51200,610100,8.4,2.5,65200,1134800,5.7,1.5,,,,,,,,,,,
,London,87300,2134200,4.1,1,56400,1071300,5.3,1.8,71500,630800,11.3,3.2,85100,1199100,7.1,2,,,,,,,,,,,
,London,99700,2109400,4.7,1,41700,1045800,4,1.6,58400,658600,8.9,2.8,82400,1208900,6.8,1.9,,,,,,,,,,,
,London,68900,2093000,3.3,1,41500,1005000,4.1,1.8,46800,709500,6.6,2.6,67300,1244300,5.4,1.8,,,,,,,,,,,
,Merton,2900,54700,5.3,4.9,!,30400,!,!,1200,7000,16.5,*,1000,22100,4.6,*,,,,,,,,,,,
,Merton,3500,45900,7.6,6.4,!,27900,!,!,1400,11100,12.3,*,2300,27600,8.2,*,,,,,,,,,,,
,Merton,1500,50300,2.9,*,1300,30600,4.4,*,!,13700,!,!,2400,21300,11.4,*,,,,,,,,,,,
,Merton,!,46500,!,!,700,27800,2.6,*,!,12400,!,!,2100,25200,8.3,*,,,,,,,,,,,
,Merton,1100,55000,2,*,!,23200,!,!,!,12600,!,!,900,25500,3.6,*,,,,,,,,,,,
,Merton,1000,59100,1.7,*,!,23100,!,!,1100,11200,10.1,*,1800,27800,6.5,*,,,,,,,,,,,
,Merton,700,47100,1.5,*,!,26700,!,!,2500,18600,13.4,*,1700,27400,6,*,,,,,,,,,,,
,Merton,2900,52900,5.4,*,!,35300,!,!,1100,10500,10.1,*,3200,24500,13.1,*,,,,,,,,,,,
,Merton,2200,50000,4.3,*,1800,35200,5.1,*,!,13200,!,!,!,22300,!,!,,,,,,,,,,,
,Merton,!,52700,!,!,!,35100,!,!,!,10100,!,!,!,25300,!,!,,,,,,,,,,,
,Newham,2300,20800,11.2,*,!,21500,!,!,4800,30400,15.7,12.4,12200,87600,13.9,6.6,,,,,,,,,,,
,Newham,!,21300,!,!,2500,29700,8.5,*,5200,31300,16.6,13.1,7200,73100,9.8,6.5,,,,,,,,,,,
,Newham,3000,29000,10.4,*,1200,39000,3.1,*,4200,29500,14.3,12.3,6900,74600,9.2,6.2,,,,,,,,,,,
,Newham,1800,30100,5.8,*,#,49800,3.3,*,3100,29600,10.5,*,4300,75500,5.7,5.3,,,,,,,,,,,
,Newham,1900,32400,5.8,*,1600,42800,3.8,*,1700,23700,7.2,*,6000,81200,7.4,6.5,,,,,,,,,,,
,Newham,!,25800,!,!,2300,43800,5.2,*,6100,42300,14.5,*,!,68500,!,!,,,,,,,,,,,
,Newham,!,32700,!,!,!,48100,!,!,5300,41400,12.7,*,1700,69500,2.4,*,,,,,,,,,,,
,Newham,!,49000,!,!,!,53000,!,!,#,38000,14.4,*,4400,66700,6.6,*,,,,,,,,,,,
,Newham,#,40500,7.2,*,!,52300,!,!,!,37600,!,!,5700,70800,8,*,,,,,,,,,,,
,Newham,!,51900,!,!,!,34600,!,!,!,30900,!,!,!,88100,!,!,,,,,,,,,,,
,North East,115500,1160200,10,1,2800,43600,6.4,4.2,1500,12600,11.7,9.8,4700,32900,14.1,6.9,,,,,,,,,,,
,North East,99300,1174000,8.5,0.9,3200,45000,7.1,4.3,1800,14400,12.6,9.5,3300,31700,10.6,5.9,,,,,,,,,,,
,North East,88300,1173400,7.5,0.9,3400,45000,7.6,4.5,1600,17000,9.6,8.2,4200,35800,11.9,6.3,,,,,,,,,,,
,North East,74900,1176200,6.4,0.9,3800,48900,7.8,4.7,1600,14200,11.1,9.8,4100,41400,10,6,,,,,,,,,,,
,North East,74900,1176200,6.4,0.9,3800,48900,7.8,4.7,1600,14200,11.1,9.8,4100,41400,10,6,,,,,,,,,,,
,North East,72300,1164200,6.2,0.9,1100,52500,2.2,2.4,1400,13200,10.6,10,3500,41900,8.3,5.2,,,,,,,,,,,
,North East,60600,1168900,5.2,0.8,2700,49400,5.4,3.9,1500,13800,10.6,*,2900,38200,7.7,5.2,,,,,,,,,,,
,North East,65200,1164900,5.6,0.8,2000,45800,4.3,3.8,2700,15600,17.6,11.8,3400,42300,8.1,5.1,,,,,,,,,,,
,North East,73700,1172800,6.3,1,3200,53000,6.1,5.1,2500,16800,14.8,12.1,2900,41100,7,5.9,,,,,,,,,,,
,North East,65300,1142300,5.7,1,2700,49700,5.5,*,1000,15500,6.6,*,5500,46800,11.7,7.3,,,,,,,,,,,
,North East,50600,1125900,4.5,0.9,2500,52900,4.7,*,!,18900,!,!,3900,49800,7.8,6.4,,,,,,,,,,,
,North West,228800,3031600,7.5,0.7,10900,148200,7.4,3,14100,103500,13.6,4.6,19500,171200,11.4,3.3,,,,,,,,,,,
,North West,196000,2978200,6.6,0.6,10400,166500,6.3,2.7,18200,121500,15,4.4,19000,178000,10.7,3.1,,,,,,,,,,,
,North West,140300,2990900,4.7,0.5,10000,184500,5.4,2.4,14600,116500,12.6,4.2,19200,189800,10.1,3,,,,,,,,,,,
,North West,141200,2997000,4.7,0.6,9700,188000,5.1,2.3,14400,128100,11.2,4,16400,201200,8.2,2.7,,,,,,,,,,,
,North West,141200,2997000,4.7,0.6,9700,188000,5.1,2.3,14400,128100,11.2,4,16400,201200,8.2,2.7,,,,,,,,,,,
,North West,122500,3029400,4,0.5,5700,197800,2.9,1.8,14000,137600,10.2,3.8,16200,192200,8.4,2.9,,,,,,,,,,,
,North West,110900,3014700,3.7,0.5,5400,195800,2.8,1.8,11200,134200,8.3,3.4,16100,223500,7.2,2.5,,,,,,,,,,,
,North West,117600,3042400,3.9,0.5,4900,208100,2.3,1.6,9600,129100,7.4,3.3,15300,225200,6.8,2.5,,,,,,,,,,,
,North West,119900,3006700,4,0.6,7200,223200,3.2,2.3,10300,140900,7.3,3.9,17200,216300,7.9,3.6,,,,,,,,,,,
,North West,123700,2954300,4.2,0.6,7600,226000,3.4,2.4,7700,136300,5.7,3.8,24800,232200,10.7,4.1,,,,,,,,,,,
,North West,109400,2960200,3.7,0.7,6400,213800,3,2.5,6700,128200,5.2,4.1,23700,267600,8.8,3.6,,,,,,,,,,,
,Redbridge,2300,47400,4.9,*,1300,18300,7.2,*,6000,30100,19.9,13.2,5800,50700,11.5,7.7,,,,,,,,,,,
,Redbridge,3600,51000,7.1,6.2,1700,21300,7.8,*,3300,28200,11.8,11,1500,48800,3.1,*,,,,,,,,,,,
,Redbridge,2100,48600,4.4,*,!,17800,!,!,6900,31100,22.1,13.6,2200,51600,4.3,*,,,,,,,,,,,
,Redbridge,!,47300,!,!,1300,22900,5.5,*,4600,31700,14.4,11.5,2700,54600,5,*,,,,,,,,,,,
,Redbridge,!,39700,!,!,1500,23600,6.3,*,3500,32800,10.7,9.7,5300,57200,9.3,6.6,,,,,,,,,,,
,Redbridge,1400,47700,2.9,*,900,30700,3,*,1600,25100,6.3,*,3600,45700,7.8,7,,,,,,,,,,,
,Redbridge,3200,47000,6.7,*,!,31400,!,!,1800,27400,6.7,*,!,49000,!,!,,,,,,,,,,,
,Redbridge,!,41100,!,!,!,29900,!,!,!,30600,!,!,!,59100,!,!,,,,,,,,,,,
,Redbridge,2600,37500,7,*,!,19200,!,!,3000,29900,10.1,*,5900,66300,8.9,*,,,,,,,,,,,
,Redbridge,1700,37900,4.5,*,!,23700,!,!,!,31500,!,!,4800,69000,7,*,,,,,,,,,,,
,Richmond upon Thames,2100,70800,3,*,600,22500,2.7,*,!,4700,!,!,700,6900,9.6,*,,,,,,,,,,,
,Richmond upon Thames,3600,70300,5.2,4,!,22400,!,!,#,5300,13.5,*,!,8400,!,!,,,,,,,,,,,
,Richmond upon Thames,2900,68400,4.3,3.8,1000,24000,4.2,*,!,3900,!,!,!,9100,!,!,,,,,,,,,,,
,Richmond upon Thames,3000,75100,4,3.8,1300,23100,5.6,*,!,6100,!,!,1300,7100,18,*,,,,,,,,,,,
,Richmond upon Thames,2100,68000,3.1,*,!,19700,!,!,!,5300,!,!,!,9500,!,!,,,,,,,,,,,
,Richmond upon Thames,1400,68900,2.1,*,!,24600,!,!,1000,4700,21.7,*,!,9900,!,!,,,,,,,,,,,
,Richmond upon Thames,!,71700,!,!,!,21900,!,!,!,6700,!,!,!,9500,!,!,,,,,,,,,,,
,Richmond upon Thames,700,63500,1.1,*,!,27500,!,!,!,6600,!,!,!,13200,!,!,,,,,,,,,,,
,Richmond upon Thames,2600,55300,4.7,*,!,26300,!,!,!,2700,!,!,2800,22000,12.5,*,,,,,,,,,,,
,Richmond upon Thames,2100,56700,3.7,*,!,28400,!,!,!,2100,!,!,1200,14400,8.4,*,,,,,,,,,,,
,South East,203000,3802700,5.3,0.6,18700,395600,4.7,1.6,14000,111000,12.7,4.4,22900,238500,9.6,2.6,,,,,,,,,,,
,South East,169700,3782800,4.5,0.5,20900,409300,5.1,1.6,9000,106400,8.5,3.8,18500,271200,6.8,2.1,,,,,,,,,,,
,South East,144800,3790300,3.8,0.5,17300,423300,4.1,1.4,11900,114200,10.4,4.1,19600,290100,6.8,2.1,,,,,,,,,,,
,South East,146100,3813800,3.8,0.5,14000,465500,3,1.3,11500,122400,9.4,3.9,16700,269900,6.2,2.1,,,,,,,,,,,
,South East,146100,3813800,3.8,0.5,14000,465500,3,1.3,11500,122400,9.4,3.9,16700,269900,6.2,2.1,,,,,,,,,,,
,South East,110800,3765300,2.9,0.5,16800,507600,3.3,1.3,8300,140600,5.9,2.9,13300,297700,4.5,1.8,,,,,,,,,,,
,South East,115200,3761500,3.1,0.5,18100,465900,3.9,1.5,10000,137400,7.3,3.5,16300,321000,5.1,1.9,,,,,,,,,,,
,South East,111700,3795400,2.9,0.5,13400,495200,2.7,1.2,9000,156000,5.8,3,10300,333200,3.1,1.5,,,,,,,,,,,
,South East,134400,3735900,3.6,0.6,22200,539900,4.1,1.7,12900,164600,7.8,3.9,21500,333300,6.4,2.6,,,,,,,,,,,
,South East,125500,3690300,3.4,0.6,22500,528900,4.3,1.7,12600,159900,7.9,4,18600,332600,5.6,2.4,,,,,,,,,,,
,South East,112800,3687500,3.1,0.6,13600,509300,2.7,1.5,6300,167200,3.8,3,15200,387400,3.9,2,,,,,,,,,,,
,South West,130500,2427100,5.4,0.7,11200,174300,6.4,2.7,5300,35300,15.2,9.3,9000,75400,11.9,5.5,,,,,,,,,,,
,South West,113300,2433200,4.7,0.6,9100,193100,4.7,2.3,5600,34600,16.3,9.7,11300,93600,12.1,5,,,,,,,,,,,
,South West,92000,2463300,3.7,0.6,7500,202300,3.7,2,3200,39700,8.1,6.9,7200,89900,8,4.1,,,,,,,,,,,
,South West,93000,2434700,3.8,0.6,10800,230900,4.7,2.1,5300,39500,13.3,9,4700,90800,5.2,3.5,,,,,,,,,,,
,South West,93000,2434700,3.8,0.6,10800,230900,4.7,2.1,5300,39500,13.3,9,4700,90800,5.2,3.5,,,,,,,,,,,
,South West,76300,2472000,3.1,0.5,7500,258700,2.9,1.6,1800,41900,4.4,*,7900,89700,8.8,4.3,,,,,,,,,,,
,South West,76500,2475300,3.1,0.5,5400,243500,2.2,1.5,2500,41000,6.1,6,4100,97100,4.2,2.9,,,,,,,,,,,
,South West,72300,2477400,2.9,0.5,5800,243700,2.4,1.5,2400,44700,5.5,*,7400,105300,7,3.6,,,,,,,,,,,
,South West,92000,2503500,3.7,0.7,11100,212200,5.2,2.7,4300,46100,9.3,*,3600,92600,3.9,3.4,,,,,,,,,,,
,South West,76500,2435300,3.1,0.6,7200,217700,3.3,2.1,4100,56100,7.3,*,3900,99100,4,3.5,,,,,,,,,,,
,South West,61700,2473800,2.5,0.6,4200,213400,2,1.7,4600,53300,8.6,*,4000,106500,3.8,3.4,,,,,,,,,,,
,Southwark,5200,75100,6.9,5.2,2700,31700,8.6,*,5000,15800,31.5,21.2,5000,38300,13,9.6,,,,,,,,,,,
,Southwark,2900,82900,3.5,3.5,1800,31400,5.7,*,3400,18900,17.9,15.5,7900,44000,18,9.8,,,,,,,,,,,
,Southwark,2700,73300,3.7,*,1400,32900,4.1,*,6200,27100,22.7,15.5,3800,51000,7.4,6.8,,,,,,,,,,,
,Southwark,3700,77700,4.7,*,3700,34200,10.8,*,3100,23700,13,*,3600,50900,7,*,,,,,,,,,,,
,Southwark,3600,80600,4.5,*,2500,46900,5.4,*,3700,22600,16.5,*,2600,45500,5.7,*,,,,,,,,,,,
,Southwark,4400,90300,4.8,*,1100,48000,2.3,*,1500,16200,9.6,*,5300,42700,12.3,10.2,,,,,,,,,,,
,Southwark,!,88300,!,!,2200,37700,5.8,*,1500,20400,7.5,*,3300,45900,7.2,*,,,,,,,,,,,
,Southwark,2800,88200,3.2,*,3200,37100,8.8,*,4700,26500,17.6,*,4700,53100,8.8,*,,,,,,,,,,,
,Southwark,2500,74600,3.3,*,!,45100,!,!,4500,31900,14.3,*,2900,44300,6.5,*,,,,,,,,,,,
,Southwark,!,95100,!,!,!,31700,!,!,5500,25100,22.1,*,!,36600,!,!,,,,,,,,,,,
,Sutton,4000,74600,5.4,4.6,1000,9800,10.1,*,!,4000,!,!,1500,18600,8,*,,,,,,,,,,,
,Sutton,3200,71000,4.5,4.4,!,11300,!,!,!,2500,!,!,1600,22500,7.3,*,,,,,,,,,,,
,Sutton,4200,74000,5.6,4.7,900,12600,7.5,*,!,5300,!,!,1000,18800,5.2,*,,,,,,,,,,,
,Sutton,2900,70500,4.1,3.9,!,10300,!,!,!,8700,!,!,1200,20500,5.8,*,,,,,,,,,,,
,Sutton,3500,67800,5.2,4.5,!,14900,!,!,!,8700,!,!,1500,21400,6.8,*,,,,,,,,,,,
,Sutton,2600,63300,4.1,*,!,19100,!,!,#,11000,8.1,*,800,18300,4.3,*,,,,,,,,,,,
,Sutton,4400,75000,5.8,4.2,!,14300,!,!,800,8700,8.7,*,1000,15300,6.3,*,,,,,,,,,,,
,Sutton,2800,55300,5,*,1300,19900,6.6,*,1300,12200,10.4,*,!,24100,!,!,,,,,,,,,,,
,Sutton,3000,58900,5,*,!,17100,!,!,1300,8700,15.1,*,!,25900,!,!,,,,,,,,,,,
,Sutton,1800,57400,3.1,*,!,18200,!,!,1300,8200,16.4,*,1500,28000,5.4,*,,,,,,,,,,,
,Tower Hamlets,3200,45200,7.1,6.7,2300,31300,7.3,*,8800,28800,30.4,15.5,5900,41800,14.1,9.3,,,,,,,,,,,
,Tower Hamlets,3600,52200,6.9,6.5,!,27600,!,!,6100,37000,16.5,11.9,5900,43500,13.7,9.5,,,,,,,,,,,
,Tower Hamlets,2900,48700,5.9,*,1400,30700,4.6,*,5600,44100,12.7,10.1,5000,44400,11.3,9,,,,,,,,,,,
,Tower Hamlets,3800,56200,6.8,*,!,36900,!,!,6000,29500,20.4,16.4,7600,49600,15.2,11,,,,,,,,,,,
,Tower Hamlets,1600,45500,3.5,*,!,35400,!,!,2800,19700,14.3,*,10000,56100,17.8,10.9,,,,,,,,,,,
,Tower Hamlets,3200,64700,4.9,*,1600,42500,3.7,*,!,23900,!,!,4800,47400,10.2,*,,,,,,,,,,,
,Tower Hamlets,1200,65100,1.9,*,1700,40100,4.3,*,1800,26600,6.9,*,2200,45500,4.9,*,,,,,,,,,,,
,Tower Hamlets,2700,74000,3.7,*,!,47400,!,!,!,18200,!,!,4000,45700,8.8,*,,,,,,,,,,,
,Tower Hamlets,3400,50000,6.9,*,!,45600,!,!,!,44200,!,!,4800,48400,9.9,*,,,,,,,,,,,
,Tower Hamlets,!,54500,!,!,!,34100,!,!,!,39000,!,!,6900,61500,11.2,*,,,,,,,,,,,
,Waltham Forest,4400,53400,8.2,6.8,1300,28700,4.6,*,2500,19700,12.7,*,2300,37700,6.1,*,,,,,,,,,,,
,Waltham Forest,5400,56300,9.7,7.5,!,26600,!,!,3300,22000,15.1,*,2900,32100,9.2,*,,,,,,,,,,,
,Waltham Forest,2900,56700,5.1,*,!,29500,!,!,2300,26600,8.6,*,2400,29700,7.9,*,,,,,,,,,,,
,Waltham Forest,2700,55700,4.8,*,2600,39700,6.5,*,1900,18200,10.6,*,!,33900,!,!,,,,,,,,,,,
,Waltham Forest,1300,63600,2,*,!,36800,!,!,3100,20600,15,*,1600,30700,5.1,*,,,,,,,,,,,
,Waltham Forest,!,67700,!,!,!,24000,!,!,2800,30000,9.2,*,!,32600,!,!,,,,,,,,,,,
,Waltham Forest,3000,80200,3.7,*,1800,32500,5.6,*,1700,20500,8.3,*,3600,21800,16.7,*,,,,,,,,,,,
,Waltham Forest,2100,72900,2.9,*,3800,32800,11.7,*,7600,24800,30.4,22,3800,22200,17.3,*,,,,,,,,,,,
,Waltham Forest,5000,86300,5.8,*,!,27600,!,!,2900,20500,14.2,*,!,23900,!,!,,,,,,,,,,,
,Waltham Forest,!,57700,!,!,!,23700,!,!,4400,30900,14.2,*,3800,34400,11,*,,,,,,,,,,,
,Wandsworth,6200,112100,5.6,4.8,3400,39300,8.5,*,5400,17700,30.5,25.2,2700,20500,13.2,*,,,,,,,,,,,
,Wandsworth,3200,105300,3.1,*,1400,41000,3.3,*,!,18200,!,!,2400,26800,9,*,,,,,,,,,,,
,Wandsworth,3100,107200,2.9,*,2800,49300,5.7,*,2900,17200,16.8,*,2700,25100,10.8,*,,,,,,,,,,,
,Wandsworth,1700,94900,1.7,*,#,51900,3,*,1600,16300,9.9,*,1500,31700,4.8,*,,,,,,,,,,,
,Wandsworth,1700,94900,1.7,*,#,51900,3,*,1600,16300,9.9,*,1500,31700,4.8,*,,,,,,,,,,,
,Wandsworth,2400,93700,2.6,*,!,54200,!,!,!,15700,!,!,!,27900,!,!,,,,,,,,,,,
,Wandsworth,3800,104600,3.6,*,1700,52800,3.3,*,!,19000,!,!,!,24100,!,!,,,,,,,,,,,
,Wandsworth,4300,101600,4.2,*,1800,62500,2.8,*,1900,19500,9.7,*,!,23000,!,!,,,,,,,,,,,
,Wandsworth,2400,114600,2.1,*,!,52800,!,!,!,13800,!,!,!,30500,!,!,,,,,,,,,,,
,Wandsworth,4100,96300,4.2,*,3300,60500,5.4,*,!,13000,!,!,3400,31300,10.7,*,,,,,,,,,,,
,Wandsworth,1900,108800,1.8,*,!,64000,!,!,!,15600,!,!,!,26900,!,!,,,,,,,,,,,
,West Midlands,152800,2232000,6.8,0.8,10800,126500,8.5,3.8,39700,195100,20.3,4.9,32900,214800,15.3,4,,,,,,,,,,,
,West Midlands,124900,2191100,5.7,0.8,11000,151200,7.3,3.3,23200,202800,11.4,3.7,27100,208700,13,3.7,,,,,,,,,,,
,West Midlands,107500,2203000,4.9,0.7,7200,178700,4,2.3,23900,176100,13.6,4.3,22800,201000,11.4,3.6,,,,,,,,,,,
,West Midlands,96000,2145600,4.5,0.7,7900,183400,4.3,2.3,28900,231200,12.5,3.8,22200,242400,9.2,3,,,,,,,,,,,
,West Midlands,96000,2145600,4.5,0.7,7900,183400,4.3,2.3,28900,231200,12.5,3.8,22200,242400,9.2,3,,,,,,,,,,,
,West Midlands,98000,2198100,4.5,0.7,10900,207400,5.2,2.6,22000,206900,10.6,3.7,18500,238400,7.8,2.8,,,,,,,,,,,
,West Midlands,92500,2197600,4.2,0.7,3700,204600,1.8,1.5,19300,216700,8.9,3.3,19700,262700,7.5,2.7,,,,,,,,,,,
,West Midlands,87600,2190300,4,0.7,5300,205000,2.6,1.8,22600,247200,9.1,3.2,23300,271900,8.6,2.9,,,,,,,,,,,
,West Midlands,100500,2198400,4.6,0.8,5000,196300,2.5,2.5,23400,230500,10.1,4,27200,287300,9.5,3.8,,,,,,,,,,,
,West Midlands,87200,2148200,4.1,0.8,4900,208600,2.3,2.4,29200,226900,12.9,4.8,24200,327500,7.4,3.5,,,,,,,,,,,
,West Midlands,82800,2142900,3.9,0.8,5200,199900,2.6,*,21200,236400,9,4.2,26000,349300,7.5,3.3,,,,,,,,,,,
,Westminster,2400,44000,5.4,*,1600,38400,4.2,*,900,7900,11,*,2400,29900,8,7.5,,,,,,,,,,,
,Westminster,1100,42800,2.6,*,2400,38000,6.2,*,900,9100,9.8,*,2500,31800,7.9,7.1,,,,,,,,,,,
,Westminster,3900,44200,8.9,7.4,2500,38000,6.5,*,2200,8000,27,*,2400,33800,7.2,*,,,,,,,,,,,
,Westminster,1200,38100,3.1,*,1600,44400,3.5,*,1300,13100,10,*,4000,31700,12.5,10.3,,,,,,,,,,,
,Westminster,1200,38100,3.1,*,1600,44400,3.5,*,1300,13100,10,*,4000,31700,12.5,10.3,,,,,,,,,,,
,Westminster,2600,29400,8.7,*,900,47300,1.9,*,1700,15800,10.6,*,2000,28100,7.1,*,,,,,,,,,,,
,Westminster,3100,41200,7.6,*,!,43800,!,!,2000,13100,15.6,*,!,31800,!,!,,,,,,,,,,,
,Westminster,2900,41100,7,*,!,45500,!,!,1800,17000,10.7,*,!,29300,!,!,,,,,,,,,,,
,Westminster,3400,48300,7,*,6400,41200,15.4,*,!,15700,!,!,!,28900,!,!,,,,,,,,,,,
,Westminster,3400,63500,5.4,*,!,34200,!,!,!,9000,!,!,!,21700,!,!,,,,,,,,,,,
,Westminster,!,37500,!,!,!,41400,!,!,!,18700,!,!,2000,26100,7.8,*,,,,,,,,,,,
,Yorkshire and The Humber,186000,2282200,8.2,0.8,13000,132900,9.8,3.8,18400,96300,19.1,6.8,19600,138800,14.1,4.8,,,,,,,,,,,
,Yorkshire and The Humber,147300,2260200,6.5,0.7,10700,137800,7.8,3.3,18100,99600,18.2,6.6,18500,137900,13.4,4.6,,,,,,,,,,,
,Yorkshire and The Humber,122300,2313700,5.3,0.7,9500,142800,6.7,3,15400,98500,15.6,6.3,14700,136800,10.7,4.2,,,,,,,,,,,
,Yorkshire and The Humber,109200,2273800,4.8,0.7,9300,159300,5.8,2.9,6200,99600,6.2,4.3,14300,147200,9.7,4.1,,,,,,,,,,,
,Yorkshire and The Humber,109200,2273800,4.8,0.7,9300,159300,5.8,2.9,6200,99600,6.2,4.3,14300,147200,9.7,4.1,,,,,,,,,,,
,Yorkshire and The Humber,102500,2261600,4.5,0.7,6800,184600,3.7,2.2,10400,101100,10.3,5.5,15200,147000,10.3,4.2,,,,,,,,,,,
,Yorkshire and The Humber,95100,2258200,4.2,0.7,6100,176200,3.5,2.2,7600,110700,6.8,4.4,11500,143600,8,3.8,,,,,,,,,,,
