Borough,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,Year,null,null,null,null,null,null,null,null,null,null,null,null
,null,number,number,number,number,2013,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,Greenwich,3500,!,#,2400,2019,71400,4.9,*,30100,!,!,14700,10.6,*,44900,5.4,*
,Hackney,!,!,2200,3800,2019,70800,!,!,33000,!,!,19000,11.7,*,34500,11,*
,Hammersmith and Fulham,1800,!,!,!,2019,47400,3.9,*,31900,!,!,5900,!,!,16800,!,!
,Haringey,!,1700,!,1400,2019,67000,!,!,45300,3.7,*,15800,!,!,31700,4.6,*
,Harrow,!,!,3000,1700,2019,23900,!,!,23700,!,!,25800,11.5,*,45400,3.8,*
,Havering,5400,!,!,!,2019,91000,5.9,4.4,10300,!,!,17800,!,!,14200,!,!
,Hillingdon,2100,1900,!,2500,2019,48500,4.4,*,26400,7,*,25800,!,!,54500,4.7,*
,Hounslow,2100,!,!,!,2019,44900,4.6,*,24900,!,!,20900,!,!,49800,!,!
,Islington,2100,!,1400,2700,2019,71400,2.9,*,32300,!,!,13200,10.4,*,30500,8.9,*
,Kensington and Chelsea,700,!,1100,1600,2019,23600,2.8,*,28200,!,!,8800,12.4,*,14900,11,*
,Kingston upon Thames,1300,!,!,800,2019,58500,2.2,*,16800,!,!,8100,!,!,15600,5.4,*
,Lambeth,4400,3100,2400,2400,2019,96800,4.5,*,36100,8.6,*,28500,8.5,*,43700,5.6,*
,Lewisham,3100,1500,2200,1900,2019,89600,3.5,*,35900,4.3,*,25600,8.4,*,31500,6.1,*
,Merton,700,!,2500,1700,2019,47100,1.5,*,26700,!,!,18600,13.4,*,27400,6,*
,Newham,!,!,5300,1700,2019,32700,!,!,48100,!,!,41400,12.7,*,69500,2.4,*
,Redbridge,3200,!,1800,!,2019,47000,6.7,*,31400,!,!,27400,6.7,*,49000,!,!
,Richmond upon Thames,!,!,!,!,2019,71700,!,!,21900,!,!,6700,!,!,9500,!,!
,Southwark,!,2200,1500,3300,2019,88300,!,!,37700,5.8,*,20400,7.5,*,45900,7.2,*
,Sutton,4400,!,800,1000,2019,75000,5.8,4.2,14300,!,!,8700,8.7,*,15300,6.3,*
,Tower Hamlets,1200,1700,1800,2200,2019,65100,1.9,*,40100,4.3,*,26600,6.9,*,45500,4.9,*
,Waltham Forest,3000,1800,1700,3600,2019,80200,3.7,*,32500,5.6,*,20500,8.3,*,21800,16.7,*
,Wandsworth,4300,1800,1900,!,2019,101600,4.2,*,62500,2.8,*,19500,9.7,*,23000,!,!
,Westminster,2900,!,1800,!,2019,41100,7,*,45500,!,!,17000,10.7,*,29300,!,!
,North East,65200,2000,2700,3400,2019,1164900,5.6,0.8,45800,4.3,3.8,15600,17.6,11.8,42300,8.1,5.1
,North West,117600,4900,9600,15300,2019,3042400,3.9,0.5,208100,2.3,1.6,129100,7.4,3.3,225200,6.8,2.5
,Yorkshire and The Humber,87700,7500,11400,12300,2019,2261800,3.9,0.6,175000,4.3,2.5,116200,9.8,5,144200,8.6,4
,East Midlands,64400,10000,5200,11500,2019,1949900,3.3,0.8,224500,4.4,2.6,104700,5,3.8,173200,6.7,3.3
,West Midlands,87600,5300,22600,23300,2019,2190300,4,0.7,205000,2.6,1.8,247200,9.1,3.2,271900,8.6,2.9
,East,81600,6700,4200,10400,2019,2543200,3.2,0.7,339300,2,1.3,98500,4.2,3.2,211000,4.9,2.4
,London,75900,31800,51200,65200,2019,2081500,3.6,0.8,1058600,3,1.1,610100,8.4,2.5,1134800,5.7,1.5
,South East,111700,13400,9000,10300,2019,3795400,2.9,0.5,495200,2.7,1.2,156000,5.8,3,333200,3.1,1.5
,South West,72300,5800,2400,7400,2019,2477400,2.9,0.5,243700,2.4,1.5,44700,5.5,*,105300,7,3.6
,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,2020,null,null,null,null,null,null,null,null,null,null,null,null
,null,number,number,number,number,2020,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,City of London,!,!,!,!,2020,#,!,!,!,!,!,!,!,!,!,!,-
,Barking and Dagenham,2200,3400,!,4300,2020,25700,8.4,*,20900,16.1,*,12600,!,!,45400,9.5,*
,Barnet,!,2700,!,6500,2020,75100,!,!,65700,4,*,23800,!,!,50600,12.8,*
,Bexley,3600,!,!,3400,2020,84600,4.3,*,15700,!,!,11100,!,!,22600,15.2,*
,Brent,!,!,3000,!,2020,36500,!,!,35600,!,!,41400,7.1,*,59100,!,!
,Bromley,3700,!,!,!,2020,107700,3.4,*,29400,!,!,17700,!,!,22000,!,!
,Camden,!,!,!,2500,2020,61100,!,!,34500,!,!,13900,!,!,35000,7.2,*
,Croydon,#,3700,3500,3700,2020,95000,2,*,33300,11.2,*,23500,14.9,*,55800,6.6,*
,Ealing,!,!,7700,!,2020,59200,!,!,32000,!,!,43700,17.7,*,53100,!,!
,Enfield,!,5500,!,2500,2020,78000,!,!,33900,16.3,*,16200,!,!,38100,6.6,*
,Greenwich,5000,!,!,3300,2020,60500,8.2,*,32000,!,!,13200,!,!,58900,5.7,*
,Hackney,4100,!,!,2200,2020,73100,5.6,*,32400,!,!,15000,!,!,42400,5.2,*
,Hammersmith and Fulham,3300,1400,1400,!,2020,44200,7.4,*,33900,4.2,*,12800,11,*,16000,!,!
,Haringey,3400,2300,!,!,2020,78600,4.3,*,45900,5,*,17600,!,!,14800,!,!
,Harrow,2900,!,!,4700,2020,33600,8.7,*,19400,!,!,29800,!,!,42000,11.1,*
,Havering,3800,!,!,!,2020,83700,4.5,4.3,18500,!,!,17300,!,!,21200,!,!
,Hillingdon,5700,2700,4900,!,2020,67100,8.5,*,17600,15.2,*,33800,14.5,*,55200,!,!
,Hounslow,!,!,2900,3600,2020,50500,!,!,22000,!,!,17700,16.2,*,58500,6.2,*
,Islington,4300,2600,!,!,2020,71400,6,*,42900,6,*,12700,!,!,16300,!,!
,Kensington and Chelsea,1400,!,1200,1300,2020,29500,4.6,*,33100,!,!,5900,19.4,*,15000,8.7,*
,Kingston upon Thames,2700,!,!,!,2020,56900,4.7,4.6,16300,!,!,5900,!,!,20100,!,!
,Lambeth,7600,!,3700,5600,2020,106100,7.2,6.3,39700,!,!,23200,16.1,*,46200,12,*
,Lewisham,1500,!,6000,!,2020,91300,1.7,*,36000,!,!,23700,25.1,*,43000,!,!
,Merton,2900,!,1100,3200,2020,52900,5.4,*,35300,!,!,10500,10.1,*,24500,13.1,*
,Newham,!,!,#,4400,2020,49000,!,!,53000,!,!,38000,14.4,*,66700,6.6,*
,Redbridge,!,!,!,!,2020,41100,!,!,29900,!,!,30600,!,!,59100,!,!
,Richmond upon Thames,700,!,!,!,2020,63500,1.1,*,27500,!,!,6600,!,!,13200,!,!
,Southwark,2800,3200,4700,4700,2020,88200,3.2,*,37100,8.8,*,26500,17.6,*,53100,8.8,*
,Sutton,2800,1300,1300,!,2020,55300,5,*,19900,6.6,*,12200,10.4,*,24100,!,!
,Tower Hamlets,2700,!,!,4000,2020,74000,3.7,*,47400,!,!,18200,!,!,45700,8.8,*
,Waltham Forest,2100,3800,7600,3800,2020,72900,2.9,*,32800,11.7,*,24800,30.4,22,22200,17.3,*
,Wandsworth,2400,!,!,!,2020,114600,2.1,*,52800,!,!,13800,!,!,30500,!,!
,Westminster,3400,6400,!,!,2020,48300,7,*,41200,15.4,*,15700,!,!,28900,!,!
,North East,73700,3200,2500,2900,2020,1172800,6.3,1,53000,6.1,5.1,16800,14.8,12.1,41100,7,5.9
,North West,119900,7200,10300,17200,2020,3006700,4,0.6,223200,3.2,2.3,140900,7.3,3.9,216300,7.9,3.6
,Yorkshire and The Humber,89500,6500,7600,19400,2020,2303000,3.9,0.7,168300,3.9,3,92300,8.2,6.1,156200,12.4,5.8
,East Midlands,85300,11700,11600,11200,2020,1962900,4.3,1,204900,5.7,4,91800,12.7,7.1,172100,6.5,4.1
,West Midlands,100500,5000,23400,27200,2020,2198400,4.6,0.8,196300,2.5,2.5,230500,10.1,4,287300,9.5,3.8
,East,99800,9600,5200,10900,2020,2535600,3.9,0.8,340900,2.8,2,107900,4.8,4,202000,5.4,3.1
,London,87300,56400,71500,85100,2020,2134200,4.1,1,1071300,5.3,1.8,630800,11.3,3.2,1199100,7.1,2
,South East,134400,22200,12900,21500,2020,3735900,3.6,0.6,539900,4.1,1.7,164600,7.8,3.9,333300,6.4,2.6
,South West,92000,11100,4300,3600,2020,2503500,3.7,0.7,212200,5.2,2.7,46100,9.3,*,92600,3.9,3.4
,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,2021,null,null,null,null,null,null,null,null,null,null,null,null
,null,number,number,number,number,2021,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,City of London,!12,!15,!19,!23,2021,"10,800",!13,!14,#16,!17,!18,!20,!21,-22,"9,60,024",!25,!26
,Barking and Dagenham,2200,!,!,!,2021,31700,6.8,*,9500,!,!,14600,!,!,43200,!,!
,Barnet,2800,4100,4500,4100,2021,73400,3.8,*,49700,8.3,*,30700,14.7,*,53100,7.7,*
,Bexley,4800,!,!,!,2021,78300,6.1,*,15800,!,!,6200,!,!,27000,!,!
,Brent,!,3500,!,7800,2021,35800,!,!,34800,10,*,29200,!,!,73300,10.7,*
,Bromley,5700,!,4600,!,2021,129100,4.4,4.2,24500,!,!,19200,24,*,16100,!,!
,Camden,!,!,!,!,2021,72200,!,!,27400,!,!,12400,!,!,32500,!,!
,Croydon,4300,!,5200,!,2021,89800,4.8,*,38700,!,!,34300,15.1,*,44000,!,!
,Ealing,3300,!,!,7100,2021,77300,4.2,*,36200,!,!,25300,!,!,45300,15.8,*
,Enfield,!,!,4000,!,2021,68400,!,!,34000,!,!,32200,12.4,*,34400,!,!
,Greenwich,4300,!,4100,5300,2021,63200,6.8,*,34200,!,!,24100,17.2,*,49100,10.7,*
,Hackney,5400,!,!,3300,2021,91100,5.9,*,38000,!,!,22500,!,!,35800,9.1,*
,Hammersmith and Fulham,2600,!,!,!,2021,47600,5.4,*,23700,!,!,10100,!,!,21900,!,!
,Haringey,1400,1800,2500,!,2021,62000,2.3,*,47300,3.7,*,21600,11.7,*,28900,!,!
,Harrow,1900,#,!,2000,2021,26500,7.2,*,16900,16.4,*,32600,!,!,52700,3.8,*
,Havering,5200,!,!,!,2021,94200,5.5,4.3,14500,!,!,18000,!,!,19900,!,!
,Hillingdon,4400,!,!,5100,2021,69300,6.4,*,17000,!,!,19900,!,!,66200,7.7,*
,Hounslow,2500,!,!,!,2021,41000,6,*,41000,!,!,12900,!,!,53900,!,!
,Islington,3700,!,!,1900,2021,72300,5.1,*,34600,!,!,10200,!,!,29200,6.4,*
,Kensington and Chelsea,1900,!,!,!,2021,21300,8.9,*,21600,!,!,9500,!,!,18700,!,!
,Kingston upon Thames,1300,!,!,!,2021,54000,2.4,*,25800,!,!,5700,!,!,18300,!,!
,Lambeth,3600,!,!,!,2021,102400,3.5,*,50000,!,!,34700,!,!,26800,!,!
,Lewisham,2000,!,2400,#,2021,85000,2.3,*,40500,!,!,22400,10.6,*,32000,8.2,*
,Merton,2200,1800,!,!,2021,50000,4.3,*,35200,5.1,*,13200,!,!,22300,!,!
,Newham,#,!,!,5700,2021,40500,7.2,*,52300,!,!,37600,!,!,70800,8,*
,Redbridge,2600,!,3000,5900,2021,37500,7,*,19200,!,!,29900,10.1,*,66300,8.9,*
,Richmond upon Thames,2600,!,!,2800,2021,55300,4.7,*,26300,!,!,2700,!,!,22000,12.5,*
,Southwark,2500,!,4500,2900,2021,74600,3.3,*,45100,!,!,31900,14.3,*,44300,6.5,*
,Sutton,3000,!,1300,!,2021,58900,5,*,17100,!,!,8700,15.1,*,25900,!,!
,Tower Hamlets,3400,!,!,4800,2021,50000,6.9,*,45600,!,!,44200,!,!,48400,9.9,*
,Waltham Forest,5000,!,2900,!,2021,86300,5.8,*,27600,!,!,20500,14.2,*,23900,!,!
,Wandsworth,4100,3300,!,3400,2021,96300,4.2,*,60500,5.4,*,13000,!,!,31300,10.7,*
,Westminster,3400,!,!,!,2021,63500,5.4,*,34200,!,!,9000,!,!,21700,!,!
,North East,65300,2700,1000,5500,2021,1142300,5.7,1,49700,5.5,*,15500,6.6,*,46800,11.7,7.3
,North West,123700,7600,7700,24800,2021,2954300,4.2,0.6,226000,3.4,2.4,136300,5.7,3.8,232200,10.7,4.1
,Yorkshire and The Humber,81500,5700,14600,18700,2021,2263500,3.6,0.7,161200,3.5,3.1,104400,14,7.7,166900,11.2,5.7
,East Midlands,76700,6100,10100,13000,2021,1883000,4.1,0.9,212200,2.9,*,102400,9.9,5.9,180000,7.2,4.2
,West Midlands,87200,4900,29200,24200,2021,2148200,4.1,0.8,208600,2.3,2.4,226900,12.9,4.8,327500,7.4,3.5
,East,92900,6800,8600,12800,2021,2531400,3.7,0.7,323700,2.1,1.8,128300,6.7,4.4,216700,5.9,3.2
,London,99700,41700,58400,82400,2021,2109400,4.7,1,1045800,4,1.6,658600,8.9,2.8,1208900,6.8,1.9
,South East,125500,22500,12600,18600,2021,3690300,3.4,0.6,528900,4.3,1.7,159900,7.9,4,332600,5.6,2.4
,South West,76500,7200,4100,3900,2021,2435300,3.1,0.6,217700,3.3,2.1,56100,7.3,*,99100,4,3.5
,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,2022,null,null,null,null,null,null,null,null,null,null,null,null
,null,number,number,number,number,2022,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,City of London,!14,!17,!21,!25,2022,"6,200",!15,!16,#18,!19,!20,!22,!23,-24,#26,!27,!28
,Barking and Dagenham,!,1800,!,!,2022,17700,!,!,23400,7.8,*,19100,!,!,48100,!,!
,Barnet,5200,2500,!,!,2022,72600,7.2,*,47000,5.4,*,27400,!,!,55600,!,!
,Bexley,2300,!,!,!,2022,86500,2.7,*,15200,!,!,11700,!,!,25400,!,!
,Brent,!,!,!,4900,2022,31300,!,!,42800,!,!,30300,!,!,66200,7.4,*
,Bromley,2300,!,!,!,2022,118500,1.9,*,22900,!,!,18700,!,!,25200,!,!
,Camden,4700,!,!,!,2022,59300,8,*,30600,!,!,22800,!,!,33900,!,!
,Croydon,4600,!,!,!,2022,90800,5.1,*,27000,!,!,44300,!,!,51500,!,!
,Ealing,2400,!,!,!,2022,84300,2.8,*,33000,!,!,22500,!,!,45000,!,!
,Enfield,3000,!,!,5100,2022,66800,4.4,*,28300,!,!,32400,!,!,43600,11.6,*
,Greenwich,1600,!,!,2100,2022,71300,2.3,*,22100,!,!,15700,!,!,54000,3.9,*
,Hackney,7700,6300,!,!,2022,79100,9.8,*,39400,15.9,*,22200,!,!,38500,!,!
,Hammersmith and Fulham,1800,!,!,!,2022,46900,3.8,*,29900,!,!,11900,!,!,13500,!,!
,Haringey,2500,!,!,!,2022,58200,4.3,*,46100,!,!,29200,!,!,27500,!,!
,Harrow,!,!,3400,#,2022,26100,!,!,15900,!,!,35100,9.7,*,51200,6.5,*
,Havering,!,!,1000,!,2022,96200,!,!,15500,!,!,16100,6.5,*,20900,!,!
,Hillingdon,5500,!,!,3400,2022,67100,8.2,*,16700,!,!,15600,!,!,59600,5.8,*
,Hounslow,!,!,!,3200,2022,48600,!,!,31100,!,!,17000,!,!,47400,6.8,*
,Islington,!,!,!,4000,2022,67800,!,!,43000,!,!,19400,!,!,22400,18,*
,Kensington and Chelsea,!,!,!,!,2022,19800,!,!,30500,!,!,9000,!,!,17700,!,!
,Kingston upon Thames,!,!,!,!,2022,50400,!,!,28100,!,!,7500,!,!,21600,!,!
,Lambeth,!,!,!,!,2022,119500,!,!,40700,!,!,42600,!,!,22100,!,!
,Lewisham,!,!,!,!,2022,97800,!,!,33000,!,!,27100,!,!,38800,!,!
,Merton,!,!,!,!,2022,52700,!,!,35100,!,!,10100,!,!,25300,!,!
,Newham,!,!,!,!,2022,51900,!,!,34600,!,!,30900,!,!,88100,!,!
,Redbridge,1700,!,!,4800,2022,37900,4.5,*,23700,!,!,31500,!,!,69000,7,*
,Richmond upon Thames,2100,!,!,1200,2022,56700,3.7,*,28400,!,!,2100,!,!,14400,8.4,*
,Southwark,!,!,5500,!,2022,95100,!,!,31700,!,!,25100,22.1,*,36600,!,!
,Sutton,1800,!,1300,1500,2022,57400,3.1,*,18200,!,!,8200,16.4,*,28000,5.4,*
,Tower Hamlets,!,!,!,6900,2022,54500,!,!,34100,!,!,39000,!,!,61500,11.2,*
,Waltham Forest,!,!,4400,3800,2022,57700,!,!,23700,!,!,30900,14.2,*,34400,11,*
,Wandsworth,1900,!,!,!,2022,108800,1.8,*,64000,!,!,15600,!,!,26900,!,!
,Westminster,!,!,!,2000,2022,37500,!,!,41400,!,!,18700,!,!,26100,7.8,*
,North East,50600,2500,!,3900,2022,1125900,4.5,0.9,52900,4.7,*,18900,!,!,49800,7.8,6.4
,North West,109400,6400,6700,23700,2022,2960200,3.7,0.7,213800,3,2.5,128200,5.2,4.1,267600,8.8,3.6
,Yorkshire and The Humber,56100,5800,17300,17400,2022,2220700,2.5,0.6,174200,3.3,2.9,127600,13.6,7.2,185500,9.4,5.2
,East Midlands,46900,5000,6300,10400,2022,1887200,2.5,0.8,206200,2.4,*,105500,6,4.8,201700,5.2,3.1
,West Midlands,82800,5200,21200,26000,2022,2142900,3.9,0.8,199900,2.6,*,236400,9,4.2,349300,7.5,3.3
,East,61200,7500,8000,12500,2022,2497900,2.4,0.7,330500,2.3,1.9,159500,5,3.9,219300,5.7,3.2
,London,68900,41500,46800,67300,2022,2093000,3.3,1,1005000,4.1,1.8,709500,6.6,2.6,1244300,5.4,1.8
,South East,112800,13600,6300,15200,2022,3687500,3.1,0.6,509300,2.7,1.5,167200,3.8,3,387400,3.9,2
,South West,61700,4200,4600,4000,2022,2473800,2.5,0.6,213400,2,1.7,53300,8.6,*,106500,3.8,3.4
